,time,air_pressure_at_sea_level,air_temperature,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
0,2020-10-16 09:00:00+00:00,1027.2,9.9,50.8,0.0,21.9,43.8,6.4,0.0,79.3,0.6,113.3,3.2
1,2020-10-16 10:00:00+00:00,1027.1,10.3,51.6,0.0,21.1,46.1,5.8,0.0,74.3,1.1,112.3,4.4
2,2020-10-16 11:00:00+00:00,1026.9,10.4,43.0,0.0,26.6,33.6,5.6,0.0,72.6,1.6,110.0,4.5
3,2020-10-16 12:00:00+00:00,1026.6,10.6,35.2,0.0,28.1,26.6,5.8,0.0,72.2,1.8,112.8,4.3
4,2020-10-16 13:00:00+00:00,1026.1,10.5,31.2,0.0,29.7,11.7,5.4,0.0,70.2,1.6,111.8,4.0
5,2020-10-16 14:00:00+00:00,1025.7,10.4,44.5,0.0,44.5,3.9,4.7,0.0,67.6,1.2,108.5,4.0
6,2020-10-16 15:00:00+00:00,1025.5,10.2,46.1,0.0,46.1,0.8,4.5,0.0,67.8,0.7,108.3,4.0
7,2020-10-16 16:00:00+00:00,1025.1,10.0,58.6,0.0,57.8,0.8,4.3,0.0,67.7,0.2,108.9,3.6
8,2020-10-16 17:00:00+00:00,1025.1,9.6,41.4,0.0,41.4,0.8,4.5,0.0,70.5,0.0,112.2,2.6
9,2020-10-16 18:00:00+00:00,1025.2,8.9,3.1,0.0,3.1,1.6,5.3,0.0,77.9,0.0,111.1,2.3
10,2020-10-16 19:00:00+00:00,1025.2,9.1,17.2,0.0,17.2,1.6,5.7,0.0,79.6,0.0,113.0,2.5
11,2020-10-16 20:00:00+00:00,1025.2,9.4,59.4,0.0,58.6,23.4,6.3,0.0,81.3,0.0,109.2,2.8
12,2020-10-16 21:00:00+00:00,1025.2,9.4,57.8,0.0,36.7,47.7,7.2,0.0,86.5,0.0,109.3,3.4
13,2020-10-16 22:00:00+00:00,1025.0,9.8,48.4,0.0,42.2,37.5,7.7,0.0,88.1,0.0,103.8,3.9
14,2020-10-16 23:00:00+00:00,1024.8,10.0,46.9,0.0,23.4,39.8,7.9,0.0,87.9,0.0,110.2,4.7
15,2020-10-17 00:00:00+00:00,1024.5,9.8,50.8,0.0,22.7,42.2,7.9,0.0,88.6,0.0,107.3,4.7
16,2020-10-17 01:00:00+00:00,1024.2,9.7,60.2,0.0,25.8,51.6,7.8,0.0,89.0,0.0,108.1,4.5
17,2020-10-17 02:00:00+00:00,1023.9,9.5,67.2,0.0,21.9,63.3,7.9,0.0,90.7,0.0,115.1,4.3
18,2020-10-17 03:00:00+00:00,1023.3,9.4,69.5,0.0,66.4,35.9,8.1,0.8,91.9,0.0,110.5,3.9
